epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,elapsed_seconds,best_test_accuracy
1,1.6353982775878906,0.39022,1.3322855379104614,0.5181,0.1,22.303970200009644,0.5181
2,1.1424791621017456,0.58838,1.1319418998718263,0.6101,0.1,21.699311700067483,0.6101
3,0.886784992389679,0.68642,1.0788662405014038,0.6515,0.1,21.857638699933887,0.6515
4,0.7557471081733703,0.73286,1.367790880870819,0.5876,0.1,21.71503229998052,0.6515
5,0.6639471328163147,0.7682,0.8897881213188171,0.7009,0.1,21.94142920000013,0.7009
