epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,elapsed_seconds,best_test_accuracy
1,1.7587691388702393,0.3263,1.7808875095367431,0.3901,0.1,22.54246690007858,0.3901
2,1.381042741317749,0.49044,1.2653134950637817,0.541,0.1,21.064026899985038,0.541
3,1.0897261149215698,0.61014,1.13799580078125,0.6216,0.1,21.062670500017703,0.6216
4,0.9195614279174805,0.6756,0.9985796003341675,0.6583,0.1,21.195958000025712,0.6583
5,0.8118283602714539,0.71604,1.0295599703788758,0.6509,0.1,22.146625700057484,0.6583
